PVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of days,
60,-67.139,-67.078,13,22,354,523
61,25.726,-25.836,7,4,94,265
62,-40.985,-16.895,2,14,357,511
63,77.008,-6.097,16,24,445,537
64,-54.81,-1.935,2,13,106,199
65,-53.943,-29.663,1,9,169,342
66,16.089,-27.887,19,3,323,474
67,-59.436,36.487,24,23,353,519
68,34.473,25.391,19,2,171,263
69,-9.283,-6.689,24,23,456,609
70,-85.559,-20.477,10,8,377,521
71,29.523,18.347,19,23,422,525
72,27.814,6.512,1,13,342,488
73,42.151,-25.58,19,25,330,446
74,82.202,85.828,25,25,295,460
75,-47.766,-35.59,24,20,159,280
76,22.015,-20.349,11,9,459,610
77,-55.756,-33.49,7,15,327,488
78,62.006,-1.453,25,4,299,416
79,25.549,-3.796,3,1,105,237
80,-43.372,-7.379,3,7,311,416
81,60.297,52.637,18,12,460,564
82,-96.155,34.1,18,5,202,296
83,-32.806,-3.845,9,8,436,610
84,-47.827,-45.203,21,1,110,206
85,-31.128,-93.848,21,24,362,453
86,-17.01,-21.857,21,23,383,520
87,-8.386,-2.264,11,12,139,252
88,35.834,13.147,2,2,288,396
89,29.315,54.468,4,22,440,547
90,48.352,-8.783,3,3,396,563
91,-2.93,27.039,8,12,129,271
92,-16.62,-55.389,20,16,190,351
93,-40.851,-47.742,23,8,234,355
94,-12.878,-2.039,15,25,269,437
95,-51.776,7.281,3,6,224,326
96,-32.922,23.828,14,24,281,379
97,13.983,-34.521,8,16,299,405
98,-35.834,-23.834,4,7,265,364
99,91.858,5.542,19,9,470,610
100,-28.442,-34.18,6,23,317,469
101,33.844,27.875,1,24,470,634
102,98.431,31.348,2,19,394,540
103,-57.751,-27.753,3,9,116,208
104,-43.89,13.007,24,10,188,357
105,37.585,49.768,6,23,370,539
106,-3.687,7.373,14,2,72,229
107,-98.242,61.658,22,5,94,217
108,-23.56,-32.52,14,25,81,236
109,22.98,-18.109,7,17,92,220
110,43.915,-2.985,13,23,467,616
111,71.509,11.652,19,23,204,381
112,-43.011,-38.702,6,13,378,483
113,-83.954,2.179,4,2,187,359
114,11.09,-40.942,17,24,274,437
115,27.173,-13.33,17,22,237,378
116,-86.102,-59.808,13,20,456,624
117,-22.345,-78.278,21,15,133,303
118,-38.727,-33.588,8,12,471,591
119,-1.227,-28.668,7,17,407,497
120,81.329,-44.244,15,21,162,253
121,51.904,19.891,5,10,323,470
122,-34.973,-27.856,6,4,416,524
123,-51.483,-23.248,17,21,273,425
124,-0.647,-46.057,4,3,182,358
125,68.219,-66.986,25,17,431,579
126,-15.149,-25.482,11,19,396,517
127,22.412,-34.375,17,10,330,428
128,36.176,-10.431,17,21,477,635
129,-23.639,-47.681,2,21,450,541
130,-14.722,32.684,7,6,135,280
131,16.821,-12.72,16,8,395,490
132,93.378,23.004,2,8,122,264
133,40.344,-24.176,12,13,213,362
134,5.53,-4.901,7,7,400,544
135,-78.015,1.27,19,11,264,439
136,51.569,-45.673,16,18,260,435
137,49.249,-30.896,17,10,331,463
138,-62.195,-21.399,8,25,148,273
139,-5.048,7.306,24,7,88,243
140,1.727,-70.221,10,17,478,652
141,1.361,-3.564,20,20,347,465
142,-15.521,16.425,8,18,124,224
143,-31.604,-60.938,6,21,83,254
144,-46.997,-55.56,5,14,388,493
145,2.301,5.536,23,2,404,569
146,-30.328,-0.58,14,18,319,446
147,-16.821,17.664,23,10,387,505
148,52.655,29.034,13,5,108,264
149,-11.993,-83.771,12,15,142,258
150,41.632,43.048,13,17,110,274
151,8.508,-2.539,20,12,240,405
152,31.512,-8.978,14,14,472,649
153,-3.339,-36.243,6,3,256,356
154,-26.379,13.776,4,7,231,407
155,28.43,10.571,13,21,258,429
156,5.975,27.289,1,7,466,562
157,-32.135,-45.068,9,5,446,576
158,31.097,-7.916,5,24,282,423
159,28.198,-29.755,7,13,246,424
160,-39.612,-33.594,4,18,276,427
161,-19.22,-5.133,12,19,458,590
162,-10.114,69.977,20,22,183,325
163,22.894,-44.348,20,13,111,279
164,-34.741,0.58,14,10,298,411
165,-44.952,-77.734,11,4,441,592
166,-23.749,-56.012,1,17,97,265
167,69.073,-97.125,5,2,86,254
168,12.17,-59.869,1,18,297,418
169,47.339,17.365,14,2,208,299
170,-4.706,14.056,19,18,92,271
171,-52.374,-50.244,16,13,281,445
172,39.215,-29.773,21,24,419,577
173,-42.316,-60.602,9,25,325,487
174,19.135,41.15,1,2,387,551
175,-54.706,-17.596,18,2,380,482
176,11.737,-83.173,7,7,240,380
177,-40.582,-53.247,15,23,426,581
178,-6.421,21.967,21,21,66,242
179,-31.268,-34.613,4,18,345,476
180,-3.668,-26.868,21,21,91,181
181,13.409,-22.302,10,23,202,331
182,-95.892,-86.322,16,16,157,251
183,88.983,-53.387,21,22,435,566
184,-55.048,-32.538,7,11,433,552
185,27.85,-10.028,8,22,129,247
186,40.918,-36.09,6,10,144,242
187,-58.35,15.814,23,15,117,240
188,-52.161,-74.725,18,23,123,243
189,-66.772,-34.943,6,7,248,415
190,-33.374,-62.024,6,1,100,231
191,-8.649,31.708,14,21,86,211
192,-26.166,-56.152,14,11,311,401
193,-39.874,-53.375,22,2,373,473
194,71.643,-36.981,22,24,453,619
195,-96.924,8.411,25,25,229,321
196,-2.911,36.2,13,17,84,247
197,-53.253,14.099,21,10,443,613
198,67.316,-39.734,14,18,234,340
199,-6.525,11.975,18,2,275,387
200,16.425,33.221,18,12,249,348
201,-19.061,-56.921,11,4,207,380
202,25.189,-21.045,10,1,103,219
203,37.854,-5.524,15,1,184,326
204,-16.479,48.657,3,6,142,244
205,2.344,-16.516,2,22,311,472
206,-48.621,-12.39,12,25,65,198
207,-42.621,-50.006,18,21,265,444
208,16.016,11.169,1,18,459,568
209,-80.408,-60.583,3,14,194,364
210,-95.068,44.293,4,21,291,384
211,-6.885,24.884,12,4,199,357
212,-4.803,21.674,15,1,383,517
213,7.037,-45.337,22,18,335,433
214,31.293,-39.905,20,4,416,555
215,14.984,26.172,16,4,318,416
216,33.203,-52.289,11,5,310,476
217,-59.277,39.667,20,15,463,591
218,30.054,-36.823,13,5,251,350
219,9.351,-39.044,9,22,98,255
220,-10.651,54.431,16,21,129,259
221,20.856,-26.465,7,17,437,573
222,19.617,17.865,21,8,232,359
223,-36.981,-92.95,18,4,175,301
224,-3.76,59.875,4,4,165,286
225,11.682,-63.336,15,16,452,543
226,4.468,-36.133,5,5,355,515
227,47.04,-41.254,24,15,313,407
228,29.938,-58.71,21,25,192,355
229,-70.569,-7.037,7,15,135,297
230,56.262,1.819,24,7,94,262
231,46.21,-53.522,22,19,472,567
232,6.366,-14.264,1,11,276,430
233,-34.54,-39.502,6,13,324,427
234,-50.537,28.357,4,24,171,306
235,-61.444,-10.901,14,4,357,480
236,-30.823,17.902,18,13,96,234
237,49.658,24.469,16,6,380,528
238,-69.775,-41.406,1,4,275,386
239,-18.939,57.69,24,12,376,495
240,-22.449,15.771,19,4,105,242
241,-7.599,37.03,19,4,282,386
242,27.435,17.554,11,25,301,461
243,45.526,-5.127,9,25,246,381
244,-33.551,-25.586,3,14,329,467
245,-4.645,53.754,1,25,353,488
246,-41.119,-13.361,10,13,63,185
247,23.01,-45.703,19,13,266,397
248,17.23,5.096,14,11,159,321
249,-6.818,-19.873,14,24,309,410
250,52.966,51.41,24,5,435,611
251,-28.662,-50.94,16,12,235,341
252,69.684,-51.52,6,4,406,552
253,36.884,-17.371,9,5,143,280
254,-19.659,42.035,20,24,433,558
255,72.125,65.405,21,17,207,354
256,-71.368,59.863,8,4,469,636
257,18.317,-37.75,11,1,325,480
258,18.121,0.482,13,19,351,461
259,-1.105,-30.676,24,7,135,312
260,-44.574,-44.055,15,24,284,405
261,-28.058,-59.436,6,10,65,191
262,-7.953,4.639,24,13,425,578
263,-37.366,-28.528,3,24,108,268
264,4.388,-38.489,16,3,327,434
265,-44.592,-35.333,24,14,345,445
266,-56.714,-39.252,19,2,75,199
267,13.452,-32.159,5,24,310,411
268,-20.343,-11.182,11,11,99,270
269,3.436,-52.734,19,5,397,508
270,40.576,-54.492,22,14,247,406
271,31.952,-25.421,23,21,304,435
272,-57.434,38.525,12,14,124,249
273,47.51,-42.035,23,15,214,378
274,-28.143,-41.614,25,3,452,612
275,-2.258,-5.078,3,15,154,287
276,-27.167,-27.936,25,15,325,500
277,-24.048,-47.192,1,21,278,405
278,-77.521,-55.084,16,17,164,257
279,-62.036,-43.439,21,18,446,605
280,-71.936,-20.16,11,15,244,419
281,-66.504,-39.789,6,19,188,332
282,14.587,48.444,14,9,370,474
283,31.366,-29.462,23,10,354,475
284,6.512,-46.124,9,13,249,388
285,9.65,39.508,8,25,385,523
286,16.04,16.681,19,1,244,404
287,7.745,-75.378,17,11,84,188
288,-27.173,-4.462,15,25,387,493
289,-14.367,-20.34,0,0,0,1000
