PVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of days,
74,82.202,85.828,25,25,189,434
75,-47.766,-35.59,24,20,227,429
76,22.015,-20.349,11,9,141,385
77,-55.756,-33.49,7,15,152,385
78,62.006,-1.453,25,4,93,434
79,25.549,-3.796,3,1,158,429
80,-43.372,-7.379,3,7,113,391
81,60.297,52.637,18,12,198,452
82,-96.155,34.1,18,5,88,331
83,-32.806,-3.845,9,8,93,317
84,-47.827,-45.203,21,1,156,383
85,-31.128,-93.848,21,24,92,284
86,-17.01,-21.857,21,23,224,515
87,-8.386,-2.264,11,12,75,266
88,35.834,13.147,2,2,154,421
89,29.315,54.468,4,22,103,330
90,48.352,-8.783,3,3,164,511
91,-2.93,27.039,8,12,126,443
92,-16.62,-55.389,20,16,139,331
93,-40.851,-47.742,23,8,138,455
94,-12.878,-2.039,15,25,279,470
95,-51.776,7.281,3,6,245,523
96,-32.922,23.828,14,24,108,430
97,13.983,-34.521,8,16,268,589
98,-35.834,-23.834,4,7,184,433
99,91.858,5.542,19,9,264,467
100,-28.442,-34.18,6,23,167,420
101,33.844,27.875,1,24,145,437
102,98.431,31.348,2,19,248,575
103,-57.751,-27.753,3,9,268,593
104,-43.89,13.007,24,10,286,557
105,37.585,49.768,6,23,193,390
106,-3.687,7.373,14,2,78,365
107,-98.242,61.658,22,5,152,388
108,-23.56,-32.52,14,25,145,365
109,22.98,-18.109,7,17,243,580
110,43.915,-2.985,13,23,207,387
111,71.509,11.652,19,23,221,514
112,-43.011,-38.702,6,13,270,614
113,-83.954,2.179,4,2,182,493
114,11.09,-40.942,17,24,276,614
115,27.173,-13.33,17,22,203,496
116,-86.102,-59.808,13,20,137,427
117,-22.345,-78.278,21,15,208,492
118,-38.727,-33.588,8,12,179,378
119,-1.227,-28.668,7,17,271,560
120,81.329,-44.244,15,21,208,462
121,51.904,19.891,5,10,224,493
122,-34.973,-27.856,6,4,112,451
123,-51.483,-23.248,17,21,238,538
124,-0.647,-46.057,4,3,217,527
125,68.219,-66.986,25,17,270,542
126,-15.149,-25.482,11,19,215,559
127,22.412,-34.375,17,10,280,464
128,36.176,-10.431,17,21,182,428
129,-23.639,-47.681,2,21,93,337
130,-14.722,32.684,7,6,78,341
131,16.821,-12.72,16,8,65,268
132,93.378,23.004,2,8,75,366
133,40.344,-24.176,12,13,245,431
134,5.53,-4.901,7,7,249,484
135,-78.015,1.27,19,11,140,449
136,51.569,-45.673,16,18,295,478
137,49.249,-30.896,17,10,150,385
138,-62.195,-21.399,8,25,232,507
139,-5.048,7.306,24,7,282,589
140,1.727,-70.221,10,17,74,283
141,1.361,-3.564,20,20,103,462
142,-15.521,16.425,8,18,184,402
143,-31.604,-60.938,6,21,100,454
144,-46.997,-55.56,5,14,289,526
145,2.301,5.536,23,2,237,460
146,-30.328,-0.58,14,18,288,643
147,-16.821,17.664,23,10,210,566
148,52.655,29.034,13,5,132,473
149,-11.993,-83.771,12,15,61,342
150,41.632,43.048,13,17,227,485
151,8.508,-2.539,20,12,136,380
152,31.512,-8.978,14,14,104,435
153,-3.339,-36.243,6,3,247,578
154,-26.379,13.776,4,7,185,454
155,28.43,10.571,13,21,143,370
156,5.975,27.289,1,7,299,638
157,-32.135,-45.068,9,5,189,393
158,31.097,-7.916,5,24,256,533
159,28.198,-29.755,7,13,281,580
160,-39.612,-33.594,4,18,220,515
161,-19.22,-5.133,12,19,211,468
162,-10.114,69.977,20,22,182,450
163,22.894,-44.348,20,13,237,507
164,-34.741,0.58,14,10,123,416
165,-44.952,-77.734,11,4,265,481
166,-23.749,-56.012,1,17,149,461
167,69.073,-97.125,5,2,238,546
168,12.17,-59.869,1,18,295,497
169,47.339,17.365,14,2,154,492
170,-4.706,14.056,19,18,222,572
171,-52.374,-50.244,16,13,123,328
172,39.215,-29.773,21,24,179,525
173,-42.316,-60.602,9,25,99,315
174,19.135,41.15,1,2,117,431
175,-54.706,-17.596,18,2,186,417
176,11.737,-83.173,7,7,226,575
177,-40.582,-53.247,15,23,177,436
178,-6.421,21.967,21,21,264,496
179,-31.268,-34.613,4,18,191,549
180,-3.668,-26.868,21,21,243,553
181,13.409,-22.302,10,23,108,368
182,-95.892,-86.322,16,16,72,375
183,88.983,-53.387,21,22,152,502
184,-55.048,-32.538,7,11,230,559
185,27.85,-10.028,8,22,74,373
186,40.918,-36.09,6,10,134,365
187,-58.35,15.814,23,15,247,447
188,-52.161,-74.725,18,23,100,288
189,-66.772,-34.943,6,7,204,552
190,-33.374,-62.024,6,1,196,540
191,-8.649,31.708,14,21,100,455
192,-26.166,-56.152,14,11,220,496
193,-39.874,-53.375,22,2,137,361
194,71.643,-36.981,22,24,95,434
195,-96.924,8.411,25,25,77,383
196,-2.911,36.2,13,17,113,439
197,-53.253,14.099,21,10,124,354
198,67.316,-39.734,14,18,74,425
199,-6.525,11.975,18,2,263,476
200,16.425,33.221,18,12,133,428
201,-19.061,-56.921,11,4,290,634
202,25.189,-21.045,10,1,217,419
203,37.854,-5.524,15,1,261,609
204,-16.479,48.657,3,6,113,427
205,2.344,-16.516,2,22,240,517
206,-48.621,-12.39,12,25,223,461
207,-42.621,-50.006,18,21,271,603
208,16.016,11.169,1,18,259,523
209,-80.408,-60.583,3,14,177,411
210,-95.068,44.293,4,21,224,581
211,-6.885,24.884,12,4,103,439
212,-4.803,21.674,15,1,213,435
213,7.037,-45.337,22,18,209,414
214,31.293,-39.905,20,4,258,519
215,14.984,26.172,16,4,201,474
216,33.203,-52.289,11,5,132,482
217,-59.277,39.667,20,15,210,537
218,30.054,-36.823,13,5,68,300
219,9.351,-39.044,9,22,116,351
220,-10.651,54.431,16,21,171,390
221,20.856,-26.465,7,17,263,569
222,19.617,17.865,21,8,191,461
223,-36.981,-92.95,18,4,188,543
224,-3.76,59.875,4,4,60,328
225,11.682,-63.336,15,16,224,498
226,4.468,-36.133,5,5,258,535
227,47.04,-41.254,24,15,199,501
228,29.938,-58.71,21,25,208,396
229,-70.569,-7.037,7,15,101,451
230,56.262,1.819,24,7,269,502
231,46.21,-53.522,22,19,276,459
232,6.366,-14.264,1,11,256,592
233,-34.54,-39.502,6,13,283,467
234,-50.537,28.357,4,24,268,598
235,-61.444,-10.901,14,4,203,548
236,-30.823,17.902,18,13,130,378
237,49.658,24.469,16,6,175,455
238,-69.775,-41.406,1,4,115,324
239,-18.939,57.69,24,12,265,519
240,-22.449,15.771,19,4,206,401
241,-7.599,37.03,19,4,290,525
242,27.435,17.554,11,25,69,377
243,45.526,-5.127,9,25,261,497
244,-33.551,-25.586,3,14,144,331
245,-4.645,53.754,1,25,103,296
246,-41.119,-13.361,10,13,252,580
247,23.01,-45.703,19,13,284,592
248,17.23,5.096,14,11,198,422
249,-6.818,-19.873,14,24,80,378
250,52.966,51.41,24,5,218,404
251,-28.662,-50.94,16,12,157,411
252,69.684,-51.52,6,4,226,565
253,36.884,-17.371,9,5,197,508
254,-19.659,42.035,20,24,275,502
255,72.125,65.405,21,17,157,368
256,-71.368,59.863,8,4,218,477
257,18.317,-37.75,11,1,227,498
258,18.121,0.482,13,19,270,607
259,-1.105,-30.676,24,7,142,482
260,-44.574,-44.055,15,24,210,516
261,-28.058,-59.436,6,10,116,362
262,-7.953,4.639,24,13,138,426
263,-37.366,-28.528,3,24,219,507
264,4.388,-38.489,16,3,273,565
265,-44.592,-35.333,24,14,215,451
266,-56.714,-39.252,19,2,64,311
267,13.452,-32.159,5,24,295,549
268,-20.343,-11.182,11,11,121,315
269,3.436,-52.734,19,5,154,387
270,40.576,-54.492,22,14,250,605
271,31.952,-25.421,23,21,201,425
272,-57.434,38.525,12,14,244,510
273,47.51,-42.035,23,15,210,470
274,-28.143,-41.614,25,3,298,590
275,-2.258,-5.078,3,15,142,416
276,-27.167,-27.936,25,15,259,486
277,-24.048,-47.192,1,21,128,336
278,-77.521,-55.084,16,17,119,371
279,-62.036,-43.439,21,18,282,581
280,-71.936,-20.16,11,15,217,448
281,-66.504,-39.789,6,19,186,375
282,14.587,48.444,14,9,214,493
283,31.366,-29.462,23,10,177,448
284,6.512,-46.124,9,13,96,285
285,9.65,39.508,8,25,193,519
286,16.04,16.681,19,1,124,425
287,7.745,-75.378,17,11,218,504
288,-27.173,-4.462,15,25,92,420
289,-14.367,-20.34,0,0,0,1000
